Model;Release date;Max resolution;Low resolution;Effective pixels;Zoom wide (W);Zoom tele (T);Normal focus range;Macro focus range;Storage included;Weight (inc. batteries);Dimensions;Price
Canon PowerShot A300;2003;2048.0;1600.0;3.0;33.0;33.0;20.0;5.0;32.0;225.0;111.0;139.0
Canon PowerShot A310;2004;2048.0;1600.0;3.0;33.0;33.0;0.0;5.0;0.0;205.0;110.0;139.0
Canon PowerShot A40;2002;1600.0;1024.0;1.0;35.0;105.0;76.0;16.0;8.0;350.0;110.0;139.0
Canon PowerShot A400;2004;2048.0;1600.0;3.0;45.0;100.0;0.0;5.0;16.0;255.0;107.0;139.0
Canon PowerShot A410;2005;2048.0;1600.0;3.0;41.0;131.0;0.0;1.0;16.0;195.0;103.0;139.0
Canon PowerShot A420;2006;2272.0;1600.0;4.0;39.0;125.0;47.0;1.0;16.0;200.0;103.0;139.0
Canon PowerShot A430;2006;2272.0;1600.0;4.0;39.0;156.0;47.0;1.0;16.0;210.0;103.0;139.0
Canon PowerShot A450;2007;2592.0;2048.0;5.0;38.0;122.0;47.0;1.0;16.0;215.0;106.0;139.0
Canon PowerShot A460;2007;2592.0;2048.0;5.0;38.0;152.0;47.0;1.0;16.0;215.0;106.0;139.0
Canon PowerShot A5;1998;1024.0;512.0;0.0;35.0;35.0;50.0;9.0;8.0;240.0;105.0;149.0
Canon PowerShot A50;1999;1280.0;640.0;1.0;28.0;70.0;50.0;17.0;8.0;290.0;103.0;149.0
Canon PowerShot A510;2005;2048.0;1600.0;3.0;35.0;140.0;0.0;5.0;16.0;230.0;91.0;139.0
Canon PowerShot A520;2005;2272.0;1600.0;3.0;35.0;140.0;0.0;5.0;16.0;230.0;91.0;149.0
Canon PowerShot A530;2006;2592.0;2048.0;5.0;35.0;140.0;45.0;5.0;16.0;220.0;90.0;149.0
Canon PowerShot A540;2006;2816.0;2272.0;6.0;35.0;140.0;45.0;5.0;16.0;230.0;90.0;149.0
Canon PowerShot A550;2007;3072.0;2592.0;7.0;35.0;140.0;45.0;5.0;16.0;210.0;91.0;149.0
Canon PowerShot A560;2007;3072.0;2592.0;7.0;35.0;140.0;45.0;5.0;16.0;205.0;91.0;149.0
Canon PowerShot A570 IS;2007;3072.0;2592.0;7.0;35.0;140.0;45.0;5.0;16.0;215.0;90.0;149.0
Canon PowerShot A5 Zoom;1999;1024.0;512.0;0.0;28.0;70.0;50.0;17.0;8.0;290.0;103.0;149.0
Canon PowerShot A60;2003;1600.0;1024.0;1.0;35.0;105.0;46.0;5.0;16.0;315.0;101.0;139.0
Canon PowerShot A610;2005;2592.0;2592.0;5.0;35.0;140.0;0.0;1.0;16.0;285.0;105.0;139.0
Canon PowerShot A620;2005;3072.0;3072.0;7.0;35.0;140.0;0.0;1.0;32.0;285.0;105.0;139.0
Canon PowerShot A630;2006;3264.0;2592.0;8.0;35.0;140.0;0.0;1.0;16.0;315.0;109.0;139.0
Canon PowerShot A640;2006;3648.0;2816.0;10.0;35.0;140.0;0.0;1.0;32.0;315.0;109.0;139.0
Canon PowerShot A650 IS;2007;4000.0;3264.0;12.0;35.0;210.0;0.0;1.0;32.0;300.0;97.0;399.0
Canon PowerShot A70;2003;2048.0;1600.0;3.0;35.0;105.0;46.0;5.0;16.0;315.0;101.0;139.0
Canon PowerShot A700;2006;2816.0;2272.0;6.0;35.0;210.0;55.0;1.0;16.0;250.0;94.0;139.0
Canon PowerShot A710 IS;2006;3072.0;2592.0;7.0;35.0;210.0;55.0;1.0;16.0;210.0;98.0;139.0
Canon PowerShot A720 IS;2007;3264.0;2592.0;8.0;35.0;210.0;55.0;1.0;16.0;250.0;97.0;399.0
Canon PowerShot A75;2004;2048.0;1600.0;3.0;35.0;105.0;46.0;5.0;32.0;315.0;101.0;139.0
Canon PowerShot A80;2003;2272.0;1600.0;3.0;38.0;114.0;46.0;5.0;32.0;350.0;103.0;139.0
Canon PowerShot A85;2004;2272.0;1600.0;4.0;35.0;105.0;0.0;5.0;32.0;300.0;101.0;139.0
Canon PowerShot A95;2004;2592.0;2048.0;5.0;38.0;114.0;45.0;5.0;32.0;335.0;101.0;139.0
Canon EOS 10D;2003;3072.0;2048.0;6.0;0.0;0.0;0.0;0.0;0.0;875.0;150.0;1299.0
Canon EOS-1D;2001;2464.0;1232.0;4.0;0.0;0.0;0.0;0.0;0.0;1585.0;156.0;4499.0
Canon EOS-1D Mark II;2004;3504.0;3104.0;8.0;0.0;0.0;0.0;0.0;0.0;1565.0;156.0;4499.0
Canon EOS-1D Mark III;2007;3888.0;3456.0;10.0;0.0;0.0;0.0;0.0;0.0;1335.0;156.0;4499.0
Canon EOS-1D Mark II N;2005;3504.0;3104.0;8.0;0.0;0.0;0.0;0.0;0.0;1565.0;156.0;4499.0
Canon EOS-1Ds;2002;4064.0;2032.0;11.0;0.0;0.0;0.0;0.0;0.0;1585.0;156.0;7999.0
Canon EOS-1Ds Mark II;2004;4992.0;3600.0;16.0;0.0;0.0;0.0;0.0;0.0;1565.0;156.0;7999.0
Canon EOS-1Ds Mark III;2007;5616.0;4992.0;21.0;0.0;0.0;0.0;0.0;0.0;1385.0;150.0;7999.0
Canon EOS 20D;2004;3504.0;2544.0;8.0;0.0;0.0;0.0;0.0;0.0;770.0;144.0;1299.0
Canon EOS 20Da;2005;3504.0;2544.0;8.0;0.0;0.0;0.0;0.0;0.0;770.0;144.0;1299.0
Canon EOS 300D / Digital Rebel;2003;3072.0;2048.0;6.0;0.0;0.0;0.0;0.0;0.0;645.0;142.0;1299.0
Canon EOS 30D;2006;3504.0;2544.0;8.0;0.0;0.0;0.0;0.0;0.0;784.0;144.0;1299.0
Canon EOS 350D / Digital Rebel XT;2005;3456.0;2496.0;8.0;0.0;0.0;0.0;0.0;0.0;540.0;127.0;1299.0
Canon EOS 400D / Digital Rebel XTi;2006;3888.0;2816.0;10.0;0.0;0.0;0.0;0.0;0.0;556.0;127.0;1299.0
Canon EOS 40D;2007;3888.0;2816.0;10.0;0.0;0.0;0.0;0.0;0.0;822.0;146.0;1299.0
Canon EOS 5D;2005;4368.0;3168.0;12.0;0.0;0.0;0.0;0.0;0.0;895.0;152.0;2499.0
Canon EOS D30;2000;2160.0;1440.0;3.0;0.0;0.0;0.0;0.0;16.0;855.0;150.0;549.0
Canon EOS D60;2002;3072.0;2048.0;6.0;0.0;0.0;0.0;0.0;16.0;855.0;150.0;549.0
Canon PowerShot G1;2000;2048.0;1024.0;3.0;34.0;102.0;70.0;6.0;16.0;490.0;120.0;499.0
Canon PowerShot G2;2001;2272.0;1600.0;3.0;34.0;102.0;70.0;6.0;32.0;510.0;121.0;499.0
Canon PowerShot G3;2002;2272.0;1600.0;3.0;35.0;140.0;50.0;5.0;32.0;490.0;121.0;499.0
Canon PowerShot G5;2003;2592.0;1600.0;5.0;35.0;140.0;50.0;5.0;32.0;490.0;121.0;149.0
Canon PowerShot G6;2004;3072.0;2592.0;7.0;35.0;140.0;50.0;5.0;32.0;467.0;105.0;499.0
Canon PowerShot G7;2006;3648.0;2816.0;10.0;35.0;210.0;50.0;1.0;32.0;380.0;106.0;499.0
Canon PowerShot G9;2007;4000.0;3264.0;12.0;35.0;210.0;50.0;1.0;32.0;370.0;106.0;499.0
Canon PowerShot Pro1;2004;3264.0;2272.0;8.0;28.0;200.0;50.0;3.0;64.0;640.0;118.0;139.0
Canon PowerShot Pro70;1998;1536.0;768.0;1.0;28.0;70.0;32.0;12.0;8.0;800.0;148.0;199.0
Canon PowerShot Pro90 IS;2001;1856.0;1024.0;2.0;37.0;370.0;10.0;10.0;16.0;680.0;127.0;384.0
Canon PowerShot S10;1999;1600.0;1280.0;1.0;35.0;70.0;46.0;12.0;8.0;320.0;106.0;399.0
Canon PowerShot S100;2000;1600.0;640.0;1.0;35.0;70.0;57.0;10.0;8.0;250.0;87.0;199.0
Canon PowerShot S110;2001;1600.0;1024.0;1.0;35.0;70.0;57.0;10.0;8.0;250.0;87.0;199.0
Canon PowerShot S1 IS;2004;2048.0;1600.0;3.0;38.0;380.0;10.0;10.0;32.0;469.0;111.0;399.0
Canon PowerShot S20;2000;2048.0;1024.0;3.0;32.0;64.0;66.0;12.0;16.0;320.0;106.0;399.0
Canon PowerShot S200;2002;1600.0;1024.0;1.0;35.0;70.0;57.0;10.0;8.0;250.0;87.0;199.0
Canon PowerShot S230;2002;2048.0;1600.0;3.0;35.0;70.0;47.0;10.0;16.0;250.0;87.0;199.0
Canon PowerShot S2 IS;2005;2592.0;2048.0;5.0;36.0;432.0;50.0;10.0;16.0;505.0;113.0;399.0
Canon PowerShot S30;2001;2048.0;1600.0;3.0;35.0;105.0;80.0;10.0;16.0;323.0;112.0;399.0
Canon PowerShot S300;2001;1600.0;1024.0;1.0;35.0;105.0;76.0;16.0;8.0;270.0;95.0;199.0
Canon PowerShot S330;2002;1600.0;1024.0;1.0;35.0;105.0;76.0;16.0;8.0;274.0;95.0;199.0
Canon PowerShot S3 IS;2006;2816.0;2272.0;6.0;36.0;432.0;50.0;10.0;16.0;510.0;113.0;399.0
Canon PowerShot S40;2001;2272.0;1600.0;3.0;35.0;105.0;80.0;10.0;16.0;323.0;112.0;139.0
Canon PowerShot S400;2003;2272.0;1600.0;3.0;36.0;108.0;46.0;5.0;32.0;230.0;87.0;139.0
Canon PowerShot S410;2004;2272.0;1600.0;3.0;36.0;108.0;0.0;5.0;32.0;215.0;87.0;139.0
Canon PowerShot S45;2002;2272.0;1600.0;3.0;35.0;105.0;50.0;10.0;32.0;323.0;112.0;139.0
Canon PowerShot S50;2003;2592.0;1600.0;5.0;35.0;105.0;50.0;10.0;32.0;323.0;112.0;399.0
Canon PowerShot S500;2004;2592.0;2048.0;5.0;36.0;108.0;0.0;5.0;32.0;215.0;87.0;149.0
Canon PowerShot S5 IS;2007;3264.0;2272.0;8.0;36.0;432.0;50.0;10.0;32.0;550.0;117.0;399.0
Canon PowerShot S60;2004;2592.0;1600.0;5.0;28.0;100.0;50.0;4.0;32.0;300.0;114.0;399.0
Canon PowerShot S70;2004;3072.0;2592.0;7.0;28.0;100.0;50.0;4.0;32.0;300.0;114.0;399.0
Canon PowerShot S80;2005;3264.0;2592.0;8.0;28.0;100.0;50.0;4.0;32.0;290.0;104.0;399.0
Canon PowerShot SD10;2003;2272.0;1600.0;3.0;38.0;38.0;0.0;3.0;32.0;140.0;90.0;199.0
Canon PowerShot SD100;2003;2048.0;1600.0;3.0;35.0;70.0;47.0;10.0;16.0;185.0;85.0;199.0
